District,Year,Month,Avg_Temp,Avg_Feelslike,Avg_Dew,Avg_Humidity,Avg_Precipitation,Avg_Precipitation_Probability,Avg_Precipitation_Coverage,Avg_Snowfall,Avg_Snow_Depth,Avg_Wind_Gust,Avg_Wind_Speed,Avg_Wind_Direction,Avg_Pressure,Avg_Cloud_Cover,Avg_Visibility,Avg_Solar_Radiation,Avg_Solar_Energy,Avg_UV_Index
mansa,2017,9,30.55,33.67333333333333,22.183333333333334,64.46666666666667,1.4,36.66666666666666,10.139333333333331,0.0,0.0,15.066666666666666,6.843333333333334,221.8766666666667,1004.9866666666666,21.35666666666667,2.5,224.0366666666667,19.35333333333333,7.666666666666667
mansa,2017,10,27.93870967741936,27.89354838709677,15.774193548387096,51.11612903225806,0.0032258064516129,3.225806451612903,0.134516129032258,0.0,0.0,14.629032258064516,6.729032258064516,128.90967741935484,1008.716129032258,2.0870967741935487,,215.5677419354839,18.60322580645161,7.67741935483871
mansa,2017,11,18.936666666666667,18.94,12.57,69.71333333333334,0.16,10.0,1.389,0.0,0.0,13.603333333333332,6.243333333333334,227.38,1014.7633333333334,14.02,,168.8,14.576666666666666,6.366666666666666
mansa,2017,12,14.77741935483871,14.558064516129033,7.945161290322581,67.49354838709678,0.4645161290322581,6.451612903225806,3.36,0.0,0.0,14.625806451612902,7.251612903225807,259.3290322580645,1017.7258064516128,26.880645161290325,,150.63225806451615,12.974193548387095,5.806451612903226
mansa,2018,1,13.258064516129032,12.883870967741936,7.6,72.53225806451613,0.4838709677419355,3.225806451612903,2.150645161290323,0.0,0.0,15.096774193548388,7.474193548387097,243.07419354838711,1015.3419354838708,17.432258064516127,,166.75806451612902,14.396774193548389,6.483870967741935
mansa,2018,2,17.146428571428572,17.021428571428572,9.85,65.83214285714286,0.7392857142857142,17.857142857142858,4.166785714285714,0.0,0.0,16.2,7.957142857142857,248.46785714285716,1015.3178571428572,34.82142857142857,,199.91785714285717,17.24642857142857,7.321428571428571
mansa,2018,3,23.26774193548387,23.07741935483871,13.696774193548388,58.51935483870968,0.5709677419354838,19.35483870967742,3.763870967741936,0.0,0.0,17.370967741935484,8.374193548387098,227.14193548387092,1010.8354838709678,15.770967741935484,,250.78387096774196,21.68064516129032,8.612903225806452
mansa,2018,4,29.17,28.95,14.523333333333332,45.05333333333333,0.7,43.333333333333336,6.111,0.0,0.0,21.50333333333333,9.8,179.57000000000002,1006.8033333333332,24.53666666666667,,286.2566666666667,24.686666666666667,9.3
mansa,2018,5,33.400000000000006,33.406451612903226,14.63225806451613,35.832258064516125,0.4612903225806451,51.61290322580645,5.78,0.0,0.0,21.45483870967742,10.44516129032258,203.83870967741936,1002.9193548387096,18.493548387096773,0.6,307.73870967741937,26.62258064516129,9.709677419354838
mansa,2018,6,34.21666666666667,38.29666666666667,21.86,51.63666666666666,2.3233333333333333,46.66666666666666,11.389333333333331,0.0,0.0,22.173333333333336,10.72,185.91666666666663,997.52,27.56,,268.14,23.146666666666665,8.3
mansa,2018,7,31.345161290322583,38.880645161290325,25.79032258064516,73.91935483870968,6.354838709677419,87.09677419354838,34.005806451612905,0.0,0.0,16.79032258064516,7.870967741935484,176.5,997.2612903225806,55.16129032258065,,223.58387096774197,19.34193548387097,7.548387096774194
